Ammonia,Glucose,Phosphates,Hydrogensulfide,Oxygen,Carbondioxide,Nitrogen,Sunlight,Temperature,Iron,Speed,ATP Production,ATP Consumption,Population,cytoplasm,hydrogenase,metabolosomes,thylakoids,chemosynthesizing proteins,rusticyanin,nitrogenase,toxisome,flagellum,perforator pilus,chemoreceptor,slime jet
86.169235,0.053012833,18.628933,5.9515877,27.06069,32.344814,40.306644,0,9800,1.6269844,22.114471,99.77284,38.710922,442,1,0,0,0,0,0,0,0,0,0,0,0
86.169235,0.053012833,18.628933,5.9515877,27.06069,32.344814,40.306644,0,9800,1.6269844,21.922169,101.37284,39.250923,442,1,0,0,0,0,0,0,0,0,0,0,0
86.169235,0.053012833,18.628933,5.9515877,27.06069,32.344814,40.306644,0,9800,1.6269844,21.922169,105.49105,38.170925,442,1,0,0,0,0,0,0,0,0,0,0,0
86.169235,0.053012833,18.628933,5.9515877,27.06069,32.344814,40.306644,0,9800,1.6269844,21.508526,101.37284,40.86153,442,1,0,0,0,0,0,0,0,0,0,0,0
86.169235,0.053012833,18.628933,5.9515877,27.06069,32.344814,40.306644,0,9800,1.6269844,21.82727,102.87284,38.710922,442,1,0,0,0,0,0,0,0,0,0,0,0
86.169235,0.053012833,18.628933,5.9515877,27.06069,32.344814,40.306644,0,9800,1.6269844,21.82727,99.37284,39.89859,442,1,0,0,0,0,0,0,0,0,0,0,0
86.169235,0.053012833,18.628933,5.9515877,27.06069,32.344814,40.306644,0,9800,1.6269844,21.82727,99.37284,41.620926,442,1,0,0,0,0,0,0,0,0,0,0,0
86.169235,0.053012833,18.628933,5.9515877,27.06069,32.344814,40.306644,0,9800,1.6269844,28.485987,97.37284,38.710922,442,1,0,0,0,0,0,0,0,0,0,0,0
86.169235,0.053012833,18.628933,5.9515877,27.06069,32.344814,40.306644,0,9800,1.6269844,21.876877,97.37284,38.710922,442,1,0,0,0,0,0,0,0,0,0,0,0
86.169235,0.053012833,18.628933,5.9515877,27.06069,32.344814,40.306644,0,9800,1.6269844,21.82727,97.37284,38.710922,442,1,0,0,0,0,0,0,0,0,0,0,0
86.169235,0.053012833,18.628933,5.9515877,27.06069,32.344814,40.306644,0,9800,1.6269844,21.82727,97.37284,38.710922,442,1,0,0,0,0,0,0,0,0,0,0,0
86.169235,0.053012833,18.628933,5.9515877,27.06069,32.344814,40.306644,0,9800,1.6269844,21.24462,99.77284,38.710922,442,1,0,0,0,0,0,0,0,0,0,0,0
